"VENDOR PART#","MANUFACTURER PART #","DESCRIPTION","MSRP","CONTRACT_PRICE","QUANTITY ON HAND","MANUFACTURER_NAME","CATEGORY","SERIAL_FLAG","WEIGHT"
"ADL-DLCMEMT51732700","DL-CMEMT51732700","FIXING PLATE RAM-MOUNT VESA W.BALL 2.25","32.00","22.99","0","Advantech-DLoG","ADL","N","2.200"
"ADL-DLCMEMT70109500","DL-CMEMT70109500","MOUNT BRACKET 15 fixed for XMT5/10","45.00","32.34","0","Advantech-DLoG","ADL","N","2.535"
"ADL-DLCMEMT70119300","DL-CMEMT70119300","RAMM double 1.5"" (arm 150mm, tube mount)","150.00","107.78","0","Advantech-DLoG","ADL","N","4.409"
"ADL-DLCMEMT70123400","DL-CMEMT70123400","Clamp mount adapter high","40.00","28.74","0","Advantech-DLoG","ADL","N","2.535"
"ADL-DLCMEMT70124000","DL-CMEMT70124000","RAMM long 1.5"" (arm 150mm/plate)","75.00","53.89","0","Advantech-DLoG","ADL","N","1.400"
"ADL-DLCMEMT70128200","DL-CMEMT70128200","RAMM 1.25"" (arm 150mm/tube mount)","112.00","80.48","0","Advantech-DLoG","ADL","N","4.409"
"ADL-DLCMEMT70128600","DL-CMEMT70128600","RAMM short 1.5"" (arm 90mm/plate)","75.00","53.89","0","Advantech-DLoG","ADL","N","1.200"
"ADL-DLCMEMT70129000","DL-CMEMT70129000","Mounting bracket stationary X7","40.00","28.74","0","Advantech-DLoG","ADL","N","4.409"
"ADL-DLCMEMT70129700","DL-CMEMT70129700","RAMM long (arm 215mm/plate)","130.00","93.41","0","Advantech-DLoG","ADL","N","1.984"
"ADL-DLCMEMT70129800","DL-CMEMT70129800","RAMM short 2.25"" (arm 130mm/plate)","130.00","93.41","9","Advantech-DLoG","ADL","N","4.409"
"ADL-DLCMEMT70279900","DL-CMEMT70279900","MNTB 15 adjustable for XMT 5 7""","45.00","32.34","0","Advantech-DLoG","ADL","N","1.102"
"ADL-DLCSWAP68800000","DL-CSWAP68800000","Emulation Freefloat Access One 2.x,WinOS","105.00","71.40","0","Advantech-DLoG","ADL","N","0.000"
"ADL-DLCSWAP68801101","DL-CSWAP68801101","XMT 5 SOFTWARE WEDGE WIN CE","63.00","42.84","0","Advantech-DLoG","ADL","N","0.000"
"ADL-DLCWFAK70275900","DL-CWFAK70275900","EXTERNAL ANTENNA XMT5","58.00","39.44","0","Advantech-DLoG","ADL","N","0.010"
"ADL-DLKBXX65409200","DL-KBXX65409200","DLoG Keyboard, 24 keys numeric","267.00","191.86","5","Advantech-DLoG","ADL","N","1.534"
"ADL-DLM81107P3110W0E","DLM8110-7P3110W0ED","PCAP/4GB RAM/32GB mSATA/WiFi/ WIN 10 IoT","3610.00","2454.67","0","Advantech-DLoG","ADL","Y","5.500"
"ADL-DLM81107P3170W0E","DLM8110-7P3170W0E","PCT +32 GB-MS WinEmb Standard 7","3620.00","2461.47","0","Advantech-DLoG","ADL","Y","5.500"
"ADL-DLM81107P31E0W0E","DLM8110-7P31E0W0E","PCAP/4GB RAM/32GB mSATA/WiFi/ WE8S EN","3620.00","2461.47","0","Advantech-DLoG","ADL","Y","5.500"
"ADL-DLM81107P4170W0E","DLM8110-7P4170W0E","PCAP/4GB RAM/128GB mSATA/WiFi/ WES7 EN","3700.00","2515.87","0","Advantech-DLoG","ADL","Y","5.500"
"ADL-DLM81107P41E0W0E","DLM8110-7P41E0W0E","PCAP/4GB RAM/128GB mSATA/WiFi/ WE8S EN","3700.00","2515.87","0","Advantech-DLoG","ADL","Y","5.500"
